trial_index,score,points_gained,total_shocks,shocks_gained,current_patch_competitors,current_patch,now_or_later,left_conspecifics_number,right_conspecifics_number,left_threat,subject,day,block,threat
57.0,4100.0,0.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,3,False
58.0,4100.0,0.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,3,False
59.0,4200.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
60.0,4300.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
61.0,4400.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,3,False
62.0,4400.0,0.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
63.0,4500.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,3,False
64.0,4600.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,3,False
65.0,4700.0,100.0,3.0,0.0,5.0,left,False,5.0,2.0,1.0,for01,1,3,False
66.0,4700.0,0.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
67.0,4800.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,3,False
68.0,4900.0,100.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,3,False
69.0,5200.0,300.0,3.0,0.0,5.0,left,False,5.0,2.0,1.0,for01,1,3,False
70.0,5300.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
71.0,5400.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,3,False
0.0,100.0,100.0,0.0,0.0,2.0,left,False,2.0,6.0,6.0,for01,1,4,True
1.0,300.0,200.0,0.0,0.0,3.0,right,False,6.0,3.0,6.0,for01,1,4,True
2.0,300.0,0.0,0.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
3.0,300.0,0.0,0.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
4.0,400.0,100.0,0.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
5.0,400.0,0.0,1.0,1.0,2.0,right,False,5.0,2.0,6.0,for01,1,4,True
6.0,400.0,0.0,1.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
7.0,500.0,100.0,1.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
8.0,800.0,300.0,1.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
9.0,1100.0,300.0,1.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
10.0,1100.0,0.0,1.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
11.0,1200.0,100.0,1.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
12.0,1200.0,0.0,2.0,1.0,2.0,right,False,5.0,2.0,6.0,for01,1,4,True
13.0,1200.0,0.0,2.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
14.0,1300.0,100.0,2.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
15.0,1400.0,100.0,3.0,1.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
16.0,1300.0,-100.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
17.0,1300.0,0.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
18.0,1300.0,0.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
19.0,1300.0,0.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
20.0,1300.0,0.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
21.0,1400.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
22.0,1600.0,200.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
23.0,1700.0,100.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
24.0,1800.0,100.0,3.0,0.0,6.0,left,False,6.0,3.0,1.0,for01,1,4,False
25.0,1900.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
26.0,1900.0,0.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
27.0,2000.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
28.0,2000.0,0.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
29.0,2100.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
30.0,2200.0,100.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
31.0,2300.0,100.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
32.0,2300.0,0.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
33.0,2400.0,100.0,3.0,0.0,2.0,left,False,2.0,6.0,1.0,for01,1,4,False
34.0,2600.0,200.0,3.0,0.0,6.0,left,False,6.0,3.0,1.0,for01,1,4,False
35.0,2700.0,100.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
36.0,2700.0,0.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
37.0,2800.0,100.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
38.0,2800.0,0.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
39.0,2900.0,100.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
40.0,2900.0,0.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
41.0,3000.0,100.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
42.0,3000.0,0.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
43.0,3000.0,0.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
44.0,3000.0,0.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
45.0,3000.0,0.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
46.0,3100.0,100.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
47.0,3200.0,100.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
48.0,3300.0,100.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
49.0,3300.0,0.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
50.0,3400.0,100.0,3.0,0.0,6.0,right,False,2.0,6.0,6.0,for01,1,4,True
51.0,3500.0,100.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
52.0,3600.0,100.0,3.0,0.0,6.0,left,False,6.0,3.0,6.0,for01,1,4,True
53.0,3600.0,0.0,3.0,0.0,5.0,left,False,5.0,2.0,6.0,for01,1,4,True
54.0,3700.0,100.0,3.0,0.0,6.0,right,False,2.0,6.0,1.0,for01,1,4,False
55.0,3700.0,0.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
56.0,3800.0,100.0,3.0,0.0,3.0,right,False,6.0,3.0,1.0,for01,1,4,False
57.0,4000.0,200.0,3.0,0.0,2.0,right,False,5.0,2.0,1.0,for01,1,4,False
